FineTuningJobEvent(id='ftevent-CkrB7CzlME6XTuh5HRu4JOnG', created_at=1738234530, level='info', message='The job has successfully completed', object='fine_tuning.job.event', data={}, type='message') 
FineTuningJobEvent(id='ftevent-VnCV5xrLzi3yYor01hM00REH', created_at=1738234526, level='info', message='New fine-tuned model created', object='fine_tuning.job.event', data={}, type='message')
FineTuningJobEvent(id='ftevent-M9ao1PweUz3zUSgWeJlx8LUk', created_at=1738234526, level='info', message='Checkpoint created at step 100', object='fine_tuning.job.event', data={}, type='message')
FineTuningJobEvent(id='ftevent-mjH5oghsg2LXMvtXGnxXAE6n', created_at=1738234526, level='info', message='Checkpoint created at step 50', object='fine_tuning.job.event', data={}, type='message')
FineTuningJobEvent(id='ftevent-dduS0yvMNvZJKFCZqusjVtia', created_at=1738234485, level='info', message='Step 150/150: training loss=0.11', object='fine_tuning.job.event', data={'step': 150, 'train_loss': 0.11414401978254318, 'total_steps': 150, 'train_mean_token_accuracy': 0.9767441749572754}, type='metrics')
FineTuningJobEvent(id='ftevent-g4vNj0OtRO7iwFastDjl0DLj', created_at=1738234485, level='info', message='Step 149/150: training loss=0.05', object='fine_tuning.job.event', data={'step': 149, 'train_loss': 0.05331709235906601, 'total_steps': 150, 'train_mean_token_accuracy': 0.9927007555961609}, type='metrics')
FineTuningJobEvent(id='ftevent-hWIs2EpGHHG3gocq3YJiKLMu', created_at=1738234485, level='info', message='Step 148/150: training loss=0.00', object='fine_tuning.job.event', data={'step': 148, 'train_loss': 8.490325853927061e-05, 'total_steps': 150, 'train_mean_token_accuracy': 1.0}, type='metrics')
FineTuningJobEvent(id='ftevent-dw1SnbfyOw8wDdtd1fHPpa28', created_at=1738234480, level='info', message='Step 147/150: training loss=0.00', object='fine_tuning.job.event', data={'step': 147, 'train_loss': 0.00014656467828899622, 'total_steps': 150, 'train_mean_token_accuracy': 1.0}, type='metrics')
FineTuningJobEvent(id='ftevent-BJQGdXkLm9x0GroJzQH7GArG', created_at=1738234480, level='info', message='Step 146/150: training loss=0.21', object='fine_tuning.job.event', data={'step': 146, 'train_loss': 0.2131972461938858, 'total_steps': 150, 'train_mean_token_accuracy': 0.9552238583564758}, type='metrics')
FineTuningJobEvent(id='ftevent-3xMVqAyRKQxBszPOuP6xscag', created_at=1738234480, level='info', message='Step 145/150: training loss=0.01', object='fine_tuning.job.event', data={'step': 145, 'train_loss': 0.007012458983808756, 'total_steps': 150, 'train_mean_token_accuracy': 1.0}, type='metrics')
FineTuningJobEvent(id='ftevent-MhahdBy66vgezLQXOvegsvTb', created_at=1738234480, level='info', message='Step 144/150: training loss=0.00', object='fine_tuning.job.event', data={'step': 144, 'train_loss': 0.0009400793933309615, 'total_steps': 150, 'train_mean_token_accuracy': 1.0}, type='metrics')
FineTuningJobEvent(id='ftevent-3nRY7FFROgCv0LwaI9Ln0zdz', created_at=1738234480, level='info', message='Step 143/150: training loss=0.00', object='fine_tuning.job.event', data={'step': 143, 'train_loss': 0.0003660917282104492, 'total_steps': 150, 'train_mean_token_accuracy': 1.0}, type='metrics')
FineTuningJobEvent(id='ftevent-l6vn2iUSTOg3eMWumDXzTMcS', created_at=1738234479, level='info', message='Step 142/150: training loss=0.00', object='fine_tuning.job.event', data={'step': 142, 'train_loss': 0.0008990605711005628, 'total_steps': 150, 'train_mean_token_accuracy': 1.0}, type='metrics')
FineTuningJobEvent(id='ftevent-2OMs9NlPgQ1HOAR7JLANGtMA', created_at=1738234472, level='info', message='Step 141/150: training loss=0.06', object='fine_tuning.job.event', data={'step': 141, 'train_loss': 0.06312178075313568, 'total_steps': 150, 'train_mean_token_accuracy': 0.970802903175354}, type='metrics')

