FineTuningJobEvent(id='ftevent-5ysW3XfZo3RsaUZHNSSDTk7q', created_at=1738494125, level='info', message='The job has successfully completed', object='fine_tuning.job.event', data={}, type='message') 
FineTuningJobEvent(id='ftevent-xlp9IcpfRPX6t8LkLjX2Xer3', created_at=1738494120, level='info', message='New fine-tuned model created', object='fine_tuning.job.event', data={}, type='message')
FineTuningJobEvent(id='ftevent-APxQrR6TP4DU1Ww5OYdwuncA', created_at=1738494120, level='info', message='Checkpoint created at step 200', object='fine_tuning.job.event', data={}, type='message')
FineTuningJobEvent(id='ftevent-bftElJ2RH1G9U4jGehMllwCw', created_at=1738494120, level='info', message='Checkpoint created at step 100', object='fine_tuning.job.event', data={}, type='message')
FineTuningJobEvent(id='ftevent-nc8XSPufi9EiWuAoWGImlVNd', created_at=1738494098, level='info', message='Step 300/300: training loss=0.00', object='fine_tuning.job.event', data={'step': 300, 'train_loss': 2.725500780798029e-05, 'total_steps': 300, 'train_mean_token_accuracy': 1.0}, type='metrics')
FineTuningJobEvent(id='ftevent-Km54fIqBX2SgJjD8QFM020oi', created_at=1738494096, level='info', message='Step 299/300: training loss=0.00', object='fine_tuning.job.event', data={'step': 299, 'train_loss': 0.0008781827636994421, 'total_steps': 300, 'train_mean_token_accuracy': 1.0}, type='metrics')
FineTuningJobEvent(id='ftevent-J06ALG6mdQglXLHT911IY6JZ', created_at=1738494094, level='info', message='Step 298/300: training loss=0.00', object='fine_tuning.job.event', data={'step': 298, 'train_loss': 6.154445145512e-05, 'total_steps': 300, 'train_mean_token_accuracy': 1.0}, type='metrics')

FineTuningJobEvent(id='ftevent-oRSkejRZkixn8QW1Cgq7cns3', created_at=1738494092, level='info', message='Step 297/300: training loss=0.08', object='fine_tuning.job.event', data={'step': 297, 'train_loss': 0.07578254491090775, 'total_steps': 300, 'train_mean_token_accuracy': 0.9902439117431641}, type='metrics')

FineTuningJobEvent(id='ftevent-U5Z3WPK9fPCKuzAVIk3SoMeb', created_at=1738494092, level='info', message='Step 296/300: training loss=0.06', object='fine_tuning.job.event', data={'step': 296, 'train_loss': 0.05530649423599243, 'total_steps': 300, 'train_mean_token_accuracy': 0.9923076629638672}, type='metrics')

FineTuningJobEvent(id='ftevent-GaIwFY0YLK2SBeDwoXHr1uWY', created_at=1738494090, level='info', message='Step 295/300: training loss=0.11', object='fine_tuning.job.event', data={'step': 295, 'train_loss': 0.10564566403627396, 'total_steps': 300, 'train_mean_token_accuracy': 0.9844357967376709}, type='metrics')

FineTuningJobEvent(id='ftevent-Wri5ycVajLovkHLVEva9gunQ', created_at=1738494088, level='info', message='Step 294/300: training loss=0.00', object='fine_tuning.job.event', data={'step': 294, 'train_loss': 0.00031504424987360835, 'total_steps': 300, 'train_mean_token_accuracy': 1.0}, type='metrics')
