FineTuningJobEvent(id='ftevent-PIU8QtIxP2DSzQSi1SpurqMV', created_at=1740464549, level='info', message='The job has successfully completed', object='fine_tuning.job.event', data={}, type='message') 
FineTuningJobEvent(id='ftevent-ftqxuRtkC8tMRTBUKnZQ2Xtc', created_at=1740464544, level='info', message='New fine-tuned model created', object='fine_tuning.job.event', data={}, type='message')
FineTuningJobEvent(id='ftevent-qmxbo1r0z0yvYVi9gmr7w2uE', created_at=1740464544, level='info', message='Checkpoint created at step 80', object='fine_tuning.job.event', data={}, type='message')
FineTuningJobEvent(id='ftevent-LS7lvuzafi9DYLZ8adtpqalr', created_at=1740464544, level='info', message='Checkpoint created at step 64', object='fine_tuning.job.event', data={}, type='message')
FineTuningJobEvent(id='ftevent-AVuSdiQuu4vRN6LBCfrZDGpE', created_at=1740464477, level='info', message='Step 96/96: training loss=0.00', object='fine_tuning.job.event', data={'step': 96, 'train_loss': 5.6786513596307486e-05, 'total_steps': 96, 'train_mean_token_accuracy': 1.0}, type='metrics')
FineTuningJobEvent(id='ftevent-IrEu0ZEZFnlREpP2SE34IYv0', created_at=1740464464, level='info', message='Step 95/96: training loss=0.00', object='fine_tuning.job.event', data={'step': 95, 'train_loss': 0.00034103821963071823, 'total_steps': 96, 'train_mean_token_accuracy': 1.0}, type='metrics')
FineTuningJobEvent(id='ftevent-5YOO4ZQrPiX4oMRPs5xy6wcs', created_at=1740464453, level='info', message='Step 94/96: training loss=0.00', object='fine_tuning.job.event', data={'step': 94, 'train_loss': 0.00041060554212890565, 'total_steps': 96, 'train_mean_token_accuracy': 1.0}, type='metrics')

FineTuningJobEvent(id='ftevent-JhTRg61KDIwufHwkkpVnzC1F', created_at=1740464442, level='info', message='Step 93/96: training loss=0.00', object='fine_tuning.job.event', data={'step': 93, 'train_loss': 1.802752012736164e-05, 'total_steps': 96, 'train_mean_token_accuracy': 1.0}, type='metrics')

FineTuningJobEvent(id='ftevent-HnYTmq0Iabg28kehfzJVWnK2', created_at=1740464435, level='info', message='Step 92/96: training loss=0.00', object='fine_tuning.job.event', data={'step': 92, 'train_loss': 0.0036054227966815233, 'total_steps': 96, 'train_mean_token_accuracy': 0.9990108609199524}, type='metrics')

FineTuningJobEvent(id='ftevent-0BJF1yawaQUxa0UTj0QzBCZy', created_at=1740464424, level='info', message='Step 91/96: training loss=0.00', object='fine_tuning.job.event', data={'step': 91, 'train_loss': 0.0005062561249360442, 'total_steps': 96, 'train_mean_token_accuracy': 1.0}, type='metrics')

FineTuningJobEvent(id='ftevent-ITM4wI5UZGPQ77pnnFVO9Jd6', created_at=1740464417, level='info', message='Step 90/96: training loss=0.00', object='fine_tuning.job.event', data={'step': 90, 'train_loss': 1.3341903468244709e-05, 'total_steps': 96, 'train_mean_token_accuracy': 1.0}, type='metrics')

FineTuningJobEvent(id='ftevent-No7i7akNfPRHO3GgXpODTkjF', created_at=1740464406, level='info', message='Step 89/96: training loss=0.00', object='fine_tuning.job.event', data={'step': 89, 'train_loss': 0.0014763179933652282, 'total_steps': 96, 'train_mean_token_accuracy': 0.9995941519737244}, type='metrics')

FineTuningJobEvent(id='ftevent-D61BxPjEERxwtfcei7reFVeA', created_at=1740464399, level='info', message='Step 88/96: training loss=0.00', object='fine_tuning.job.event', data={'step': 88, 'train_loss': 0.0011249195085838437, 'total_steps': 96, 'train_mean_token_accuracy': 1.0}, type='metrics')

FineTuningJobEvent(id='ftevent-BfCCZDaNlTsujyDb8JjZaMp9', created_at=1740464398, level='info', message='Step 87/96: training loss=0.00', object='fine_tuning.job.event', data={'step': 87, 'train_loss': 0.0001450760173611343, 'total_steps': 96, 'train_mean_token_accuracy': 1.0}, type='metrics')

FineTuningJobEvent(id='ftevent-zpemSelGdzIRjAxJCdJOBRro', created_at=1740464393, level='info', message='Step 86/96: training loss=0.00', object='fine_tuning.job.event', data={'step': 86, 'train_loss': 0.004075420089066029, 'total_steps': 96, 'train_mean_token_accuracy': 1.0}, type='metrics')

FineTuningJobEvent(id='ftevent-MZF8p8zFbuXKdgUhXNTEj4uk', created_at=1740464393, level='info', message='Step 85/96: training loss=0.01', object='fine_tuning.job.event', data={'step': 85, 'train_loss': 0.005590861663222313, 'total_steps': 96, 'train_mean_token_accuracy': 0.9961089491844177}, type='metrics')

FineTuningJobEvent(id='ftevent-hjMqb4cXv6Xt8zrrt9WUDk1n', created_at=1740464393, level='info', message='Step 84/96: training loss=0.00', object='fine_tuning.job.event', data={'step': 84, 'train_loss': 0.0006130874389782548, 'total_steps': 96, 'train_mean_token_accuracy': 1.0}, type='metrics')

FineTuningJobEvent(id='ftevent-NviLGuOay7259TvzRLLKREaH', created_at=1740464393, level='info', message='Step 83/96: training loss=0.00', object='fine_tuning.job.event', data={'step': 83, 'train_loss': 4.780598374054534e-06, 'total_steps': 96, 'train_mean_token_accuracy': 1.0}, type='metrics')

FineTuningJobEvent(id='ftevent-TLSijL7NaaFTzkP8jN8lwjT0', created_at=1740464388, level='info', message='Step 82/96: training loss=0.00', object='fine_tuning.job.event', data={'step': 82, 'train_loss': 0.00013117192429490387, 'total_steps': 96, 'train_mean_token_accuracy': 1.0}, type='metrics')

FineTuningJobEvent(id='ftevent-805XmbLAtbG4aZ3gvhHrFd3U', created_at=1740464387, level='info', message='Step 81/96: training loss=0.00', object='fine_tuning.job.event', data={'step': 81, 'train_loss': 2.850838063750416e-05, 'total_steps': 96, 'train_mean_token_accuracy': 1.0}, type='metrics')

FineTuningJobEvent(id='ftevent-THMF6E4uekM9M6hIPjVPrwkj', created_at=1740464363, level='info', message='Step 80/96: training loss=0.00', object='fine_tuning.job.event', data={'step': 80, 'train_loss': 0.0006199100753292441, 'total_steps': 96, 'train_mean_token_accuracy': 1.0}, type='metrics') 

FineTuningJobEvent(id='ftevent-pNYNl2hUKAcAa326MT1yo8cJ', created_at=1740464363, level='info', message='Step 79/96: training loss=0.00', object='fine_tuning.job.event', data={'step': 79, 'train_loss': 1.0776519957289565e-05, 'total_steps': 96, 'train_mean_token_accuracy': 1.0}, type='metrics')

FineTuningJobEvent(id='ftevent-dMTnZoEA05zTPYWFe9dXFbr4', created_at=1740464363, level='info', message='Step 78/96: training loss=0.01', object='fine_tuning.job.event', data={'step': 78, 'train_loss': 0.007306785322725773, 'total_steps': 96, 'train_mean_token_accuracy': 0.9967426657676697}, type='metrics')

FineTuningJobEvent(id='ftevent-eeRQbH9JCrufWZ0r73KAqF7N', created_at=1740464363, level='info', message='Step 77/96: training loss=0.00', object='fine_tuning.job.event', data={'step': 77, 'train_loss': 6.158011092338711e-05, 'total_steps': 96, 'train_mean_token_accuracy': 1.0}, type='metrics')

FineTuningJobEvent(id='ftevent-xTikydjKaN3jJln7akbud3Xy', created_at=1740464359, level='info', message='Step 76/96: training loss=0.00', object='fine_tuning.job.event', data={'step': 76, 'train_loss': 0.0012618934269994497, 'total_steps': 96, 'train_mean_token_accuracy': 1.0}, type='metrics')

FineTuningJobEvent(id='ftevent-RlV1oiG3Mv0piZlwI1WqEqkG', created_at=1740464359, level='info', message='Step 75/96: training loss=0.00', object='fine_tuning.job.event', data={'step': 75, 'train_loss': 0.0016299133421853185, 'total_steps': 96, 'train_mean_token_accuracy': 1.0}, type='metrics')

FineTuningJobEvent(id='ftevent-ApnfBNlnbIGEa2vqcvsYri0p', created_at=1740464359, level='info', message='Step 74/96: training loss=0.01', object='fine_tuning.job.event', data={'step': 74, 'train_loss': 0.006555293221026659, 'total_steps': 96, 'train_mean_token_accuracy': 0.9990108609199524}, type='metrics')

FineTuningJobEvent(id='ftevent-ZtRD27Iyc5M7rb9uyARY2UZ6', created_at=1740464357, level='info', message='Step 73/96: training loss=0.00', object='fine_tuning.job.event', data={'step': 73, 'train_loss': 5.759081614087336e-05, 'total_steps': 96, 'train_mean_token_accuracy': 1.0}, type='metrics')

FineTuningJobEvent(id='ftevent-unt03HMGTlg9wZCKVnFXFKDc', created_at=1740464353, level='info', message='Step 72/96: training loss=0.02', object='fine_tuning.job.event', data={'step': 72, 'train_loss': 0.01567966677248478, 'total_steps': 96, 'train_mean_token_accuracy': 0.9961089491844177}, type='metrics')

