FineTuningJobEvent(id='ftevent-LBQmAij6Fs0BFzrAaR2ePfsw', created_at=1743051207, level='info', message='The job has successfully completed', object='fine_tuning.job.event', data={}, type='message') 

FineTuningJobEvent(id='ftevent-5o0V92KIQMUMK5DdOBFmgUS3', created_at=1743051189, level='info', message='New fine-tuned model created', object='fine_tuning.job.event', data={}, type='message')       

FineTuningJobEvent(id='ftevent-rpLKodU8t7usQJrZ7vLcCcih', created_at=1743051189, level='info', message='Checkpoint created at step 110', object='fine_tuning.job.event', data={}, type='message')

FineTuningJobEvent(id='ftevent-DlgEiAEfGgx63G85BmL1R6Wm', created_at=1743051189, level='info', message='Checkpoint created at step 55', object='fine_tuning.job.event', data={}, type='message')

FineTuningJobEvent(id='ftevent-4E3pkxYiI0xhRPC7NpKkAZDX', created_at=1743051171, level='info', message='Step 165/165: training loss=0.01', object='fine_tuning.job.event', data={'step': 165, 'train_loss': 0.009845360182225704, 'total_steps': 165, 'train_mean_token_accuracy': 0.9970760345458984}, type='metrics')

FineTuningJobEvent(id='ftevent-JCBIkacwDl4cPNP2Mv0EL51W', created_at=1743051171, level='info', message='Step 164/165: training loss=0.00', object='fine_tuning.job.event', data={'step': 164, 'train_loss': 0.0024592841509729624, 'total_steps': 165, 'train_mean_token_accuracy': 1.0}, type='metrics')

FineTuningJobEvent(id='ftevent-pIo4gcZxL6VYzE5DsgfPwVHe', created_at=1743051169, level='info', message='Step 163/165: training loss=0.00', object='fine_tuning.job.event', data={'step': 163, 'train_loss': 0.0002277208404848352, 'total_steps': 165, 'train_mean_token_accuracy': 1.0}, type='metrics')

FineTuningJobEvent(id='ftevent-ieBim4SN4XDwT1CsRTo5afP7', created_at=1743051167, level='info', message='Step 162/165: training loss=0.00', object='fine_tuning.job.event', data={'step': 162, 'train_loss': 0.003380724461749196, 'total_steps': 165, 'train_mean_token_accuracy': 1.0}, type='metrics')

FineTuningJobEvent(id='ftevent-lYGDgznAoT4ecxdEbXaoZ924', created_at=1743051165, level='info', message='Step 161/165: training loss=0.09', object='fine_tuning.job.event', data={'step': 161, 'train_loss': 0.09445527195930481, 'total_steps': 165, 'train_mean_token_accuracy': 0.9825436472892761}, type='metrics')

FineTuningJobEvent(id='ftevent-x5xEw4fCnk9oCBy81PQhOshZ', created_at=1743051163, level='info', message='Step 160/165: training loss=0.06', object='fine_tuning.job.event', data={'step': 160, 'train_loss': 0.06283414363861084, 'total_steps': 165, 'train_mean_token_accuracy': 0.9913544654846191}, type='metrics')

FineTuningJobEvent(id='ftevent-wNlsAwss8MQdjbOWQKr9TwSQ', created_at=1743051160, level='info', message='Step 159/165: training loss=0.19', object='fine_tuning.job.event', data={'step': 159, 'train_loss': 0.18557961285114288, 'total_steps': 165, 'train_mean_token_accuracy': 0.9550321102142334}, type='metrics')

FineTuningJobEvent(id='ftevent-kNDwlpDcK9jz1gvixzpABBqW', created_at=1743051160, level='info', message='Step 158/165: training loss=0.04', object='fine_tuning.job.event', data={'step': 158, 'train_loss': 0.041732385754585266, 'total_steps': 165, 'train_mean_token_accuracy': 0.9944444298744202}, type='metrics')

FineTuningJobEvent(id='ftevent-ZpUwOwQsXOgl6rjRE7Ra1XFq', created_at=1743051158, level='info', message='Step 157/165: training loss=0.03', object='fine_tuning.job.event', data={'step': 157, 'train_loss': 0.0335858128964901, 'total_steps': 165, 'train_mean_token_accuracy': 0.9918434023857117}, type='metrics')

FineTuningJobEvent(id='ftevent-NlEfajRduffS8aCmgKGV9o5l', created_at=1743051156, level='info', message='Step 156/165: training loss=0.23', object='fine_tuning.job.event', data={'step': 156, 'train_loss': 0.2265433669090271, 'total_steps': 165, 'train_mean_token_accuracy': 0.9482200741767883}, type='metrics')

FineTuningJobEvent(id='ftevent-tnkiedreSeUfVEs3GPVrNvGM', created_at=1743051154, level='info', message='Step 155/165: training loss=0.00', object='fine_tuning.job.event', data={'step': 155, 'train_loss': 0.00018898276903200895, 'total_steps': 165, 'train_mean_token_accuracy': 1.0}, type='metrics')

FineTuningJobEvent(id='ftevent-fdfYRVF0VVB0G4Tno7pQOE7P', created_at=1743051154, level='info', message='Step 154/165: training loss=0.02', object='fine_tuning.job.event', data={'step': 154, 'train_loss': 0.0195472352206707, 'total_steps': 165, 'train_mean_token_accuracy': 0.9890260696411133}, type='metrics')

FineTuningJobEvent(id='ftevent-8X3jAIhDhH26MWz7IFK0ca46', created_at=1743051152, level='info', message='Step 153/165: training loss=0.00', object='fine_tuning.job.event', data={'step': 153, 'train_loss': 0.00017895906057674438, 'total_steps': 165, 'train_mean_token_accuracy': 1.0}, type='metrics')

FineTuningJobEvent(id='ftevent-LS0nhfXLg3Y7DttZtZDVE0rg', created_at=1743051150, level='info', message='Step 152/165: training loss=0.01', object='fine_tuning.job.event', data={'step': 152, 'train_loss': 0.014347723685204983, 'total_steps': 165, 'train_mean_token_accuracy': 0.9934782385826111}, type='metrics')

FineTuningJobEvent(id='ftevent-f3WOQihBMBdANiM6IDGIDNDV', created_at=1743051148, level='info', message='Step 151/165: training loss=0.00', object='fine_tuning.job.event', data={'step': 151, 'train_loss': 0.002262372523546219, 'total_steps': 165, 'train_mean_token_accuracy': 1.0}, type='metrics')

FineTuningJobEvent(id='ftevent-YiPKjLb2Q6nttrhNfjrnkp4e', created_at=1743051146, level='info', message='Step 150/165: training loss=0.10', object='fine_tuning.job.event', data={'step': 150, 'train_loss': 0.10433823615312576, 'total_steps': 165, 'train_mean_token_accuracy': 0.9793577790260315}, type='metrics')

FineTuningJobEvent(id='ftevent-Mnv8az3fdvyJ4sV7vM2WsHgA', created_at=1743051146, level='info', message='Step 149/165: training loss=0.06', object='fine_tuning.job.event', data={'step': 149, 'train_loss': 0.058881666511297226, 'total_steps': 165, 'train_mean_token_accuracy': 0.9893993139266968}, type='metrics') 

FineTuningJobEvent(id='ftevent-tMDeOTswCGKDKcuTExklajtk', created_at=1743051144, level='info', message='Step 148/165: training loss=0.00', object='fine_tuning.job.event', data={'step': 148, 'train_loss': 0.000255584716796875, 'total_steps': 165, 'train_mean_token_accuracy': 1.0}, type='metrics')

FineTuningJobEvent(id='ftevent-saR426RX6v0WfgL0IwhKTHU1', created_at=1743051142, level='info', message='Step 147/165: training loss=0.07', object='fine_tuning.job.event', data={'step': 147, 'train_loss': 0.07334451377391815, 'total_steps': 165, 'train_mean_token_accuracy': 0.9814385175704956}, type='metrics')

FineTuningJobEvent(id='ftevent-V6YaktdAJtDU5gS4u93hMkmg', created_at=1743051140, level='info', message='Step 146/165: training loss=0.05', object='fine_tuning.job.event', data={'step': 146, 'train_loss': 0.04904796555638313, 'total_steps': 165, 'train_mean_token_accuracy': 0.9895287752151489}, type='metrics')

FineTuningJobEvent(id='ftevent-mJLmHBurUYlGvUsuEBZPAz0C', created_at=1743051138, level='info', message='Step 145/165: training loss=0.17', object='fine_tuning.job.event', data={'step': 145, 'train_loss': 0.1682770997285843, 'total_steps': 165, 'train_mean_token_accuracy': 0.9539951682090759}, type='metrics')

FineTuningJobEvent(id='ftevent-pIGHt5FQwJe54HRKbuNxdI66', created_at=1743051138, level='info', message='Step 144/165: training loss=0.09', object='fine_tuning.job.event', data={'step': 144, 'train_loss': 0.08952532708644867, 'total_steps': 165, 'train_mean_token_accuracy': 0.9715909361839294}, type='metrics')

FineTuningJobEvent(id='ftevent-KeU2yeedkGmvcJ56hDyjiKUk', created_at=1743051136, level='info', message='Step 143/165: training loss=0.13', object='fine_tuning.job.event', data={'step': 143, 'train_loss': 0.1317654550075531, 'total_steps': 165, 'train_mean_token_accuracy': 0.9714912176132202}, type='metrics')

FineTuningJobEvent(id='ftevent-TvT1sDMKous2fPjHGymFFio6', created_at=1743051134, level='info', message='Step 142/165: training loss=0.00', object='fine_tuning.job.event', data={'step': 142, 'train_loss': 0.002568475902080536, 'total_steps': 165, 'train_mean_token_accuracy': 1.0}, type='metrics')

FineTuningJobEvent(id='ftevent-fW7kiUmQ7nLgKW8O2naGeWcF', created_at=1743051132, level='info', message='Step 141/165: training loss=0.01', object='fine_tuning.job.event', data={'step': 141, 'train_loss': 0.0074318707920610905, 'total_steps': 165, 'train_mean_token_accuracy': 0.9975786805152893}, type='metrics')

FineTuningJobEvent(id='ftevent-Cr0DjYU7mrwPrkylmKJxGWIP', created_at=1743051132, level='info', message='Step 140/165: training loss=0.00', object='fine_tuning.job.event', data={'step': 140, 'train_loss': 0.000794549414422363, 'total_steps': 165, 'train_mean_token_accuracy': 1.0}, type='metrics')

FineTuningJobEvent(id='ftevent-RUHqjB3KBEgij4hRGmf617w7', created_at=1743051130, level='info', message='Step 139/165: training loss=0.00', object='fine_tuning.job.event', data={'step': 139, 'train_loss': 0.004683925770223141, 'total_steps': 165, 'train_mean_token_accuracy': 1.0}, type='metrics')

FineTuningJobEvent(id='ftevent-otssWJkG2bqxmvoHnFYR9DLV', created_at=1743051128, level='info', message='Step 138/165: training loss=0.12', object='fine_tuning.job.event', data={'step': 138, 'train_loss': 0.12060260027647018, 'total_steps': 165, 'train_mean_token_accuracy': 0.9643312096595764}, type='metrics')

FineTuningJobEvent(id='ftevent-R4IMjJRrJYeiPSfzhyjhxc7z', created_at=1743051126, level='info', message='Step 137/165: training loss=0.00', object='fine_tuning.job.event', data={'step': 137, 'train_loss': 0.0007320901495404541, 'total_steps': 165, 'train_mean_token_accuracy': 1.0}, type='metrics')

FineTuningJobEvent(id='ftevent-JPBum2eqhRECvB0e1rDDso01', created_at=1743051124, level='info', message='Step 136/165: training loss=0.08', object='fine_tuning.job.event', data={'step': 136, 'train_loss': 0.07897792011499405, 'total_steps': 165, 'train_mean_token_accuracy': 0.9794628620147705}, type='metrics')

